indice_relatorio_analise_de_capacidades;index_codigo_unidade;index_datas;Relatórios de Analise de Capacidade
[A1] Dias Úteis;CAF;2023-02;-
[A1] Dias Úteis;CAF;2023-03;-
[A1] Dias Úteis;CAF;2023-04;-
[A1] Dias Úteis;CAF;2023-05;-
[A1] Dias Úteis;CAJ;2021-06;23.0
[A1] Dias Úteis;CAJ;2021-07;24.5
[A1] Dias Úteis;CAJ;2021-08;24.0
[A1] Dias Úteis;CAJ;2021-09;23.0
[A1] Dias Úteis;CAJ;2021-10;22.5
[A1] Dias Úteis;CAJ;2021-11;22.0
[A1] Dias Úteis;CAJ;2021-12;23.5
[A1] Dias Úteis;CAJ;2022-01;23.0
[A1] Dias Úteis;CAJ;2022-02;21.0
[A1] Dias Úteis;CAJ;2022-03;24.0
[A1] Dias Úteis;CAJ;2022-04;21.5
[A1] Dias Úteis;CAJ;2022-05;24.0
[A1] Dias Úteis;CAJ;2022-06;23.0
[A1] Dias Úteis;CAJ;2022-07;23.5
[A1] Dias Úteis;CAJ;2022-08;25.0
[A1] Dias Úteis;CAJ;2022-09;23.0
[A1] Dias Úteis;CAJ;2022-10;22.5
[A1] Dias Úteis;CAJ;2022-11;22.0
[A1] Dias Úteis;CAJ;2022-12;-
[A1] Dias Úteis;CAJ;2023-01;-
[A1] Dias Úteis;CAJ;2023-02;-
[A1] Dias Úteis;CAJ;2023-03;-
[A1] Dias Úteis;CAJ;2023-04;-
[A1] Dias Úteis;CAJ;2023-05;-
[A1] Dias Úteis;CAN;2021-06;23.0
[A1] Dias Úteis;CAN;2021-07;24.5
[A1] Dias Úteis;CAN;2021-08;24.0
[A1] Dias Úteis;CAN;2021-09;23.0
[A1] Dias Úteis;CAN;2021-10;22.5
[A1] Dias Úteis;CAN;2021-11;22.0
[A1] Dias Úteis;CAN;2021-12;23.5
[A1] Dias Úteis;CAN;2022-01;23.0
[A1] Dias Úteis;CAN;2022-02;21.0
[A1] Dias Úteis;CAN;2022-03;24.0
[A1] Dias Úteis;CAN;2022-04;21.5
[A1] Dias Úteis;CAN;2022-05;24.0
[A1] Dias Úteis;CAN;2022-06;23.0
[A1] Dias Úteis;CAN;2022-07;23.5
[A1] Dias Úteis;CAN;2022-08;25.0
[A1] Dias Úteis;CAN;2022-09;23.0
[A1] Dias Úteis;CAN;2022-10;22.5
[A1] Dias Úteis;CAN;2022-11;22.0
[A1] Dias Úteis;CAN;2022-12;-
[A1] Dias Úteis;CAN;2023-01;-
[A1] Dias Úteis;CAN;2023-02;-
[A1] Dias Úteis;CAN;2023-03;-
[A1] Dias Úteis;CAN;2023-04;-
[A1] Dias Úteis;CAN;2023-05;-
[A1] Dias Úteis;CEZ;2021-06;23.0
[A1] Dias Úteis;CEZ;2021-07;24.5
[A1] Dias Úteis;CEZ;2021-08;24.0
[A1] Dias Úteis;CEZ;2021-09;23.0
[A1] Dias Úteis;CEZ;2021-10;22.5
[A1] Dias Úteis;CEZ;2021-11;22.0
[A1] Dias Úteis;CEZ;2021-12;23.5
[A1] Dias Úteis;CEZ;2022-01;23.0
[A1] Dias Úteis;CEZ;2022-02;21.0
[A1] Dias Úteis;CEZ;2022-03;24.0
[A1] Dias Úteis;CEZ;2022-04;21.5
[A1] Dias Úteis;CEZ;2022-05;24.0
[A1] Dias Úteis;CEZ;2022-06;23.0
[A1] Dias Úteis;CEZ;2022-07;23.5
[A1] Dias Úteis;CEZ;2022-08;25.0
[A1] Dias Úteis;CEZ;2022-09;23.0
[A1] Dias Úteis;CEZ;2022-10;22.5
[A1] Dias Úteis;CEZ;2022-11;22.0
[A1] Dias Úteis;CEZ;2022-12;-
[A1] Dias Úteis;CEZ;2023-01;-
[A1] Dias Úteis;CEZ;2023-02;-
[A1] Dias Úteis;CEZ;2023-03;-
[A1] Dias Úteis;CEZ;2023-04;-
[A1] Dias Úteis;CEZ;2023-05;-
[A1] Dias Úteis;IJA;2021-06;23.0
[A1] Dias Úteis;IJA;2021-07;24.5
[A1] Dias Úteis;IJA;2021-08;24.0
[A1] Dias Úteis;IJA;2021-09;23.0
[A1] Dias Úteis;IJA;2021-10;22.5
[A1] Dias Úteis;IJA;2021-11;22.0
[A1] Dias Úteis;IJA;2021-12;23.5
[A1] Dias Úteis;IJA;2022-01;23.0
[A1] Dias Úteis;IJA;2022-02;21.0
[A1] Dias Úteis;IJA;2022-03;24.0
[A1] Dias Úteis;IJA;2022-04;21.5
[A1] Dias Úteis;IJA;2022-05;24.0
[A1] Dias Úteis;IJA;2022-06;23.0
[A1] Dias Úteis;IJA;2022-07;23.5
[A1] Dias Úteis;IJA;2022-08;25.0
[A1] Dias Úteis;IJA;2022-09;23.0
[A1] Dias Úteis;IJA;2022-10;22.5
[A1] Dias Úteis;IJA;2022-11;22.0
[A1] Dias Úteis;IJA;2022-12;-
[A1] Dias Úteis;IJA;2023-01;-
[A1] Dias Úteis;IJA;2023-02;-
[A1] Dias Úteis;IJA;2023-03;-
[A1] Dias Úteis;IJA;2023-04;-
[A1] Dias Úteis;IJA;2023-05;-
[A1] Dias Úteis;SMC;2021-06;23.0
[A1] Dias Úteis;SMC;2021-07;24.5
[A1] Dias Úteis;SMC;2021-08;24.0
[A1] Dias Úteis;SMC;2021-09;23.0
[A1] Dias Úteis;SMC;2021-10;22.5
[A1] Dias Úteis;SMC;2021-11;22.0
[A1] Dias Úteis;SMC;2021-12;23.5
[A1] Dias Úteis;SMC;2022-01;23.0
[A1] Dias Úteis;SMC;2022-02;21.0
[A1] Dias Úteis;SMC;2022-03;24.0
[A1] Dias Úteis;SMC;2022-04;21.5
[A1] Dias Úteis;SMC;2022-05;24.0
[A1] Dias Úteis;SMC;2022-06;23.0
[A1] Dias Úteis;SMC;2022-07;23.5
[A1] Dias Úteis;SMC;2022-08;25.0
[A1] Dias Úteis;SMC;2022-09;23.0
[A1] Dias Úteis;SMC;2022-10;22.5
[A1] Dias Úteis;SMC;2022-11;22.0
[A1] Dias Úteis;SMC;2022-12;-
[A1] Dias Úteis;SMC;2023-01;-
[A1] Dias Úteis;SMC;2023-02;-
[A1] Dias Úteis;SMC;2023-03;-
[A1] Dias Úteis;SMC;2023-04;-
[A1] Dias Úteis;SMC;2023-05;-
[A1] Dias Úteis;NSR;2021-06;23.0
[A1] Dias Úteis;NSR;2021-07;24.5
[A1] Dias Úteis;NSR;2021-08;24.0
[A1] Dias Úteis;NSR;2021-09;23.0
[A1] Dias Úteis;NSR;2021-10;22.5
[A1] Dias Úteis;NSR;2021-11;22.0
[A1] Dias Úteis;NSR;2021-12;23.5
[A1] Dias Úteis;NSR;2022-01;23.0
[A1] Dias Úteis;NSR;2022-02;21.0
[A1] Dias Úteis;NSR;2022-03;24.0
[A1] Dias Úteis;NSR;2022-04;21.5
[A1] Dias Úteis;NSR;2022-05;24.0
[A1] Dias Úteis;NSR;2022-06;23.0
[A1] Dias Úteis;NSR;2022-07;23.5
[A1] Dias Úteis;NSR;2022-08;25.0
[A1] Dias Úteis;NSR;2022-09;23.0
[A1] Dias Úteis;NSR;2022-10;22.5
[A1] Dias Úteis;NSR;2022-11;22.0
[A1] Dias Úteis;NSR;2022-12;-
[A1] Dias Úteis;NSR;2023-01;-
[A1] Dias Úteis;NSR;2023-02;-
[A1] Dias Úteis;NSR;2023-03;-
[A1] Dias Úteis;NSR;2023-04;-
[A1] Dias Úteis;NSR;2023-05;-
[A1] Dias Úteis;SPA;2021-06;23.0
[A1] Dias Úteis;SPA;2021-07;24.5
[A1] Dias Úteis;SPA;2021-08;24.0
[A1] Dias Úteis;SPA;2021-09;23.0
[A1] Dias Úteis;SPA;2021-10;22.5
[A1] Dias Úteis;SPA;2021-11;22.0
[A1] Dias Úteis;SPA;2021-12;23.5
[A1] Dias Úteis;SPA;2022-01;23.0
[A1] Dias Úteis;SPA;2022-02;21.0
[A1] Dias Úteis;SPA;2022-03;24.0
[A1] Dias Úteis;SPA;2022-04;21.5
[A1] Dias Úteis;SPA;2022-05;24.0
[A1] Dias Úteis;SPA;2022-06;23.0
[A1] Dias Úteis;SPA;2022-07;23.5
[A1] Dias Úteis;SPA;2022-08;25.0
[A1] Dias Úteis;SPA;2022-09;23.0
[A1] Dias Úteis;SPA;2022-10;22.5
[A1] Dias Úteis;SPA;2022-11;22.0
[A1] Dias Úteis;SPA;2022-12;-
[A1] Dias Úteis;SPA;2023-01;-
[A1] Dias Úteis;SPA;2023-02;-
[A1] Dias Úteis;SPA;2023-03;-
[A1] Dias Úteis;SPA;2023-04;-
[A1] Dias Úteis;SPA;2023-05;-
[B1] Dias Cobertura Cimento;API;2021-06;10.0
[B1] Dias Cobertura Cimento;API;2021-07;10.0
[B1] Dias Cobertura Cimento;API;2021-08;10.0
[B1] Dias Cobertura Cimento;API;2021-09;10.0
[B1] Dias Cobertura Cimento;API;2021-10;3.23
[B1] Dias Cobertura Cimento;API;2021-11;3.25
[B1] Dias Cobertura Cimento;API;2021-12;4.03
[B1] Dias Cobertura Cimento;API;2022-01;10.0
[B1] Dias Cobertura Cimento;API;2022-02;10.0
[B1] Dias Cobertura Cimento;API;2022-03;10.0
[B1] Dias Cobertura Cimento;API;2022-04;10.0
[B1] Dias Cobertura Cimento;API;2022-05;10.0
[B1] Dias Cobertura Cimento;API;2022-06;10.0
[B1] Dias Cobertura Cimento;API;2022-07;10.0
[B1] Dias Cobertura Cimento;API;2022-08;10.0
[B1] Dias Cobertura Cimento;API;2022-09;10.0
[B1] Dias Cobertura Cimento;API;2022-10;10.0
[B1] Dias Cobertura Cimento;API;2022-11;10.0
[B1] Dias Cobertura Cimento;API;2022-12;10.0
[B1] Dias Cobertura Cimento;API;2023-01;10.0
[B1] Dias Cobertura Cimento;API;2023-02;10.0
[B1] Dias Cobertura Cimento;API;2023-03;10.0
[B1] Dias Cobertura Cimento;API;2023-04;10.0
[B1] Dias Cobertura Cimento;API;2023-05;10.0
[B1] Dias Cobertura Cimento;BDQ;2021-06;4.7
[B1] Dias Cobertura Cimento;BDQ;2021-07;3.42
[B1] Dias Cobertura Cimento;BDQ;2021-08;3.59
[B1] Dias Cobertura Cimento;BDQ;2021-09;3.4
[B1] Dias Cobertura Cimento;BDQ;2021-10;3.23
[B1] Dias Cobertura Cimento;BDQ;2021-11;3.25
[B1] Dias Cobertura Cimento;BDQ;2021-12;4.03
[B1] Dias Cobertura Cimento;BDQ;2022-01;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-02;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-03;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-04;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-05;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-06;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-07;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-08;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-09;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-10;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-11;10.0
[B1] Dias Cobertura Cimento;BDQ;2022-12;10.0
[B1] Dias Cobertura Cimento;BDQ;2023-01;10.0
[B1] Dias Cobertura Cimento;BDQ;2023-02;10.0
[B1] Dias Cobertura Cimento;BDQ;2023-03;10.0
[B1] Dias Cobertura Cimento;BDQ;2023-04;10.0
[B1] Dias Cobertura Cimento;BDQ;2023-05;10.0
[B1] Dias Cobertura Cimento;CAF;2021-06;4.7
[B1] Dias Cobertura Cimento;CAF;2021-07;3.42
[B1] Dias Cobertura Cimento;CAF;2021-08;3.59
[B1] Dias Cobertura Cimento;CAF;2021-09;3.4
[B1] Dias Cobertura Cimento;CAF;2021-10;3.23
[B1] Dias Cobertura Cimento;CAF;2021-11;3.25
[B1] Dias Cobertura Cimento;CAF;2021-12;4.03
[B1] Dias Cobertura Cimento;CAF;2022-01;10.0
[B1] Dias Cobertura Cimento;CAF;2022-02;10.0
[B1] Dias Cobertura Cimento;CAF;2022-03;10.0
[B1] Dias Cobertura Cimento;CAF;2022-04;10.0
[B1] Dias Cobertura Cimento;CAF;2022-05;10.0
[B1] Dias Cobertura Cimento;CAF;2022-06;10.0
[B1] Dias Cobertura Cimento;CAF;2022-07;10.0
[B1] Dias Cobertura Cimento;CAF;2022-08;10.0
[B1] Dias Cobertura Cimento;CAF;2022-09;10.0
[B1] Dias Cobertura Cimento;CAF;2022-10;10.0
[B1] Dias Cobertura Cimento;CAF;2022-11;10.0
[B1] Dias Cobertura Cimento;CAF;2022-12;10.0
[B1] Dias Cobertura Cimento;CAF;2023-01;10.0
[B1] Dias Cobertura Cimento;CAF;2023-02;10.0
[B1] Dias Cobertura Cimento;CAF;2023-03;10.0
[B1] Dias Cobertura Cimento;CAF;2023-04;10.0
[B1] Dias Cobertura Cimento;CAF;2023-05;10.0
[B1] Dias Cobertura Cimento;CAJ;2021-06;4.7
[B1] Dias Cobertura Cimento;CAJ;2021-07;3.42
[B1] Dias Cobertura Cimento;CAJ;2021-08;3.59
[B1] Dias Cobertura Cimento;CAJ;2021-09;3.4
[B1] Dias Cobertura Cimento;CAJ;2021-10;3.23
[B1] Dias Cobertura Cimento;CAJ;2021-11;3.25
[B1] Dias Cobertura Cimento;CAJ;2021-12;4.03
[B1] Dias Cobertura Cimento;CAJ;2022-01;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-02;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-03;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-04;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-05;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-06;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-07;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-08;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-09;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-10;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-11;10.0
[B1] Dias Cobertura Cimento;CAJ;2022-12;10.0
[B1] Dias Cobertura Cimento;CAJ;2023-01;10.0
[B1] Dias Cobertura Cimento;CAJ;2023-02;10.0
[B1] Dias Cobertura Cimento;CAJ;2023-03;10.0
[B1] Dias Cobertura Cimento;CAJ;2023-04;10.0
[B1] Dias Cobertura Cimento;CAJ;2023-05;10.0
[B1] Dias Cobertura Cimento;CAN;2021-06;4.7
[B1] Dias Cobertura Cimento;CAN;2021-07;3.42
[B1] Dias Cobertura Cimento;CAN;2021-08;3.59
[B1] Dias Cobertura Cimento;CAN;2021-09;3.4
[B1] Dias Cobertura Cimento;CAN;2021-10;3.23
[B1] Dias Cobertura Cimento;CAN;2021-11;3.25
[B1] Dias Cobertura Cimento;CAN;2021-12;4.03
[B1] Dias Cobertura Cimento;CAN;2022-01;10.0
[B1] Dias Cobertura Cimento;CAN;2022-02;10.0
[B1] Dias Cobertura Cimento;CAN;2022-03;10.0
[B1] Dias Cobertura Cimento;CAN;2022-04;10.0
[B1] Dias Cobertura Cimento;CAN;2022-05;10.0
[B1] Dias Cobertura Cimento;CAN;2022-06;10.0
[B1] Dias Cobertura Cimento;CAN;2022-07;10.0
[B1] Dias Cobertura Cimento;CAN;2022-08;10.0
[B1] Dias Cobertura Cimento;CAN;2022-09;10.0
[B1] Dias Cobertura Cimento;CAN;2022-10;10.0
[B1] Dias Cobertura Cimento;CAN;2022-11;10.0
[B1] Dias Cobertura Cimento;CAN;2022-12;10.0
[B1] Dias Cobertura Cimento;CAN;2023-01;10.0
[B1] Dias Cobertura Cimento;CAN;2023-02;10.0
[B1] Dias Cobertura Cimento;CAN;2023-03;10.0
[B1] Dias Cobertura Cimento;CAN;2023-04;10.0
[B1] Dias Cobertura Cimento;CAN;2023-05;10.0
[B1] Dias Cobertura Cimento;CEZ;2021-06;4.7
[B1] Dias Cobertura Cimento;CEZ;2021-07;3.42
[B1] Dias Cobertura Cimento;CEZ;2021-08;3.59
[B1] Dias Cobertura Cimento;CEZ;2021-09;3.4
[B1] Dias Cobertura Cimento;CEZ;2021-10;3.23
[B1] Dias Cobertura Cimento;CEZ;2021-11;3.25
[B1] Dias Cobertura Cimento;CEZ;2021-12;4.03
[B1] Dias Cobertura Cimento;CEZ;2022-01;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-02;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-03;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-04;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-05;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-06;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-07;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-08;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-09;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-10;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-11;10.0
[B1] Dias Cobertura Cimento;CEZ;2022-12;10.0
[B1] Dias Cobertura Cimento;CEZ;2023-01;10.0
[B1] Dias Cobertura Cimento;CEZ;2023-02;10.0
[B1] Dias Cobertura Cimento;CEZ;2023-03;10.0
[B1] Dias Cobertura Cimento;CEZ;2023-04;10.0
[B1] Dias Cobertura Cimento;CEZ;2023-05;10.0
[B1] Dias Cobertura Cimento;IJA;2021-06;4.7
[B1] Dias Cobertura Cimento;IJA;2021-07;3.42
[B1] Dias Cobertura Cimento;IJA;2021-08;3.59
[B1] Dias Cobertura Cimento;IJA;2021-09;3.4
[B1] Dias Cobertura Cimento;IJA;2021-10;3.23
[B1] Dias Cobertura Cimento;IJA;2021-11;3.25
[B1] Dias Cobertura Cimento;IJA;2021-12;4.03
[B1] Dias Cobertura Cimento;IJA;2022-01;10.0
[B1] Dias Cobertura Cimento;IJA;2022-02;10.0
[B1] Dias Cobertura Cimento;IJA;2022-03;10.0
[B1] Dias Cobertura Cimento;IJA;2022-04;10.0
[B1] Dias Cobertura Cimento;IJA;2022-05;10.0
[B1] Dias Cobertura Cimento;IJA;2022-06;10.0
[B1] Dias Cobertura Cimento;IJA;2022-07;10.0
[B1] Dias Cobertura Cimento;IJA;2022-08;10.0
[B1] Dias Cobertura Cimento;IJA;2022-09;10.0
[B1] Dias Cobertura Cimento;IJA;2022-10;10.0
[B1] Dias Cobertura Cimento;IJA;2022-11;10.0
[B1] Dias Cobertura Cimento;IJA;2022-12;10.0
[B1] Dias Cobertura Cimento;IJA;2023-01;10.0
[B1] Dias Cobertura Cimento;IJA;2023-02;10.0
[B1] Dias Cobertura Cimento;IJA;2023-03;10.0
[B1] Dias Cobertura Cimento;IJA;2023-04;10.0
[B1] Dias Cobertura Cimento;IJA;2023-05;10.0
[B1] Dias Cobertura Cimento;SMC;2021-06;12.0
[B1] Dias Cobertura Cimento;SMC;2021-07;12.0
[B1] Dias Cobertura Cimento;SMC;2021-08;12.0
[B1] Dias Cobertura Cimento;SMC;2021-09;12.0
[B1] Dias Cobertura Cimento;SMC;2021-10;12.0
[B1] Dias Cobertura Cimento;SMC;2021-11;12.0
[B1] Dias Cobertura Cimento;SMC;2021-12;16.84
[B1] Dias Cobertura Cimento;SMC;2022-01;10.0
[B1] Dias Cobertura Cimento;SMC;2022-02;10.0
[B1] Dias Cobertura Cimento;SMC;2022-03;10.0
[B1] Dias Cobertura Cimento;SMC;2022-04;10.0
[B1] Dias Cobertura Cimento;SMC;2022-05;10.0
[B1] Dias Cobertura Cimento;SMC;2022-06;10.0
[B1] Dias Cobertura Cimento;SMC;2022-07;10.0
[B1] Dias Cobertura Cimento;SMC;2022-08;10.0
[B1] Dias Cobertura Cimento;SMC;2022-09;10.0
[B1] Dias Cobertura Cimento;SMC;2022-10;10.0
[B1] Dias Cobertura Cimento;SMC;2022-11;10.0
[B1] Dias Cobertura Cimento;SMC;2022-12;10.0
[B1] Dias Cobertura Cimento;SMC;2023-01;10.0
[B1] Dias Cobertura Cimento;SMC;2023-02;10.0
[B1] Dias Cobertura Cimento;SMC;2023-03;10.0
[B1] Dias Cobertura Cimento;SMC;2023-04;10.0
[B1] Dias Cobertura Cimento;SMC;2023-05;10.0
[B1] Dias Cobertura Cimento;NSR;2021-06;10.0
[B1] Dias Cobertura Cimento;NSR;2021-07;10.0
[B1] Dias Cobertura Cimento;NSR;2021-08;10.0
[B1] Dias Cobertura Cimento;NSR;2021-09;10.0
[B1] Dias Cobertura Cimento;NSR;2021-10;10.0
[B1] Dias Cobertura Cimento;NSR;2021-11;10.0
[B1] Dias Cobertura Cimento;NSR;2021-12;10.0
[B1] Dias Cobertura Cimento;NSR;2022-01;10.0
[B1] Dias Cobertura Cimento;NSR;2022-02;10.0
[B1] Dias Cobertura Cimento;NSR;2022-03;10.0
[B1] Dias Cobertura Cimento;NSR;2022-04;10.0
[B1] Dias Cobertura Cimento;NSR;2022-05;10.0
[B1] Dias Cobertura Cimento;NSR;2022-06;10.0
[B1] Dias Cobertura Cimento;NSR;2022-07;10.0
[B1] Dias Cobertura Cimento;NSR;2022-08;10.0
[B1] Dias Cobertura Cimento;NSR;2022-09;10.0
[B1] Dias Cobertura Cimento;NSR;2022-10;10.0
[B1] Dias Cobertura Cimento;NSR;2022-11;10.0
[B1] Dias Cobertura Cimento;NSR;2022-12;10.0
[B1] Dias Cobertura Cimento;NSR;2023-01;10.0
[B1] Dias Cobertura Cimento;NSR;2023-02;10.0
[B1] Dias Cobertura Cimento;NSR;2023-03;10.0
[B1] Dias Cobertura Cimento;NSR;2023-04;10.0
[B1] Dias Cobertura Cimento;NSR;2023-05;10.0
[B1] Dias Cobertura Cimento;SPA;2021-06;4.7
[B1] Dias Cobertura Cimento;SPA;2021-07;3.42
[B1] Dias Cobertura Cimento;SPA;2021-08;3.59
[B1] Dias Cobertura Cimento;SPA;2021-09;3.4
[B1] Dias Cobertura Cimento;SPA;2021-10;3.23
[B1] Dias Cobertura Cimento;SPA;2021-11;3.25
[B1] Dias Cobertura Cimento;SPA;2021-12;4.03
[B1] Dias Cobertura Cimento;SPA;2022-01;10.0
[B1] Dias Cobertura Cimento;SPA;2022-02;10.0
[B1] Dias Cobertura Cimento;SPA;2022-03;10.0
[B1] Dias Cobertura Cimento;SPA;2022-04;10.0
[B1] Dias Cobertura Cimento;SPA;2022-05;10.0
[B1] Dias Cobertura Cimento;SPA;2022-06;10.0
[B1] Dias Cobertura Cimento;SPA;2022-07;10.0
[B1] Dias Cobertura Cimento;SPA;2022-08;10.0
[B1] Dias Cobertura Cimento;SPA;2022-09;10.0
[B1] Dias Cobertura Cimento;SPA;2022-10;10.0
[B1] Dias Cobertura Cimento;SPA;2022-11;10.0
[B1] Dias Cobertura Cimento;SPA;2022-12;10.0
[B1] Dias Cobertura Cimento;SPA;2023-01;10.0
[B1] Dias Cobertura Cimento;SPA;2023-02;10.0
[B1] Dias Cobertura Cimento;SPA;2023-03;10.0
[B1] Dias Cobertura Cimento;SPA;2023-04;10.0
[B1] Dias Cobertura Cimento;SPA;2023-05;10.0
[C1] Demanda Comercial de Cimento;API;2021-06;125285.83338728786
[C1] Demanda Comercial de Cimento;API;2021-07;139567.84175153685
[C1] Demanda Comercial de Cimento;API;2021-08;142999.87289185895
[C1] Demanda Comercial de Cimento;API;2021-09;143356.41544959453
[C1] Demanda Comercial de Cimento;API;2021-10;146722.33066663676
[C1] Demanda Comercial de Cimento;API;2021-11;150113.6000360529
[C1] Demanda Comercial de Cimento;API;2021-12;167806.1492548123
[C1] Demanda Comercial de Cimento;API;2022-01;171897.35766247028
[C1] Demanda Comercial de Cimento;API;2022-02;164293.51639730303
[C1] Demanda Comercial de Cimento;API;2022-03;196575.88412271425
[C1] Demanda Comercial de Cimento;API;2022-04;184388.18948965712
[C1] Demanda Comercial de Cimento;API;2022-05;215545.50492122959
[C1] Demanda Comercial de Cimento;API;2022-06;216344.4465320903
[C1] Demanda Comercial de Cimento;API;2022-07;231543.55957790202
[C1] Demanda Comercial de Cimento;API;2022-08;258052.54811527248
[C1] Demanda Comercial de Cimento;API;2022-09;248745.52233588492
[C1] Demanda Comercial de Cimento;API;2022-10;254990.9983200973
[C1] Demanda Comercial de Cimento;API;2022-11;261297.4132095212
[C1] Demanda Comercial de Cimento;API;2022-12;298777.96368466644
[C1] Demanda Comercial de Cimento;API;2023-01;313204.38197908044
[C1] Demanda Comercial de Cimento;API;2023-02;273640.13579216757
[C1] Demanda Comercial de Cimento;API;2023-03;358654.70734620024
[C1] Demanda Comercial de Cimento;API;2023-04;323455.67781761073
